,name,tags
137,Специалист по связям с общественностью,"['Написание текстов', 'Организация пресс-конференций', 'Федеральные СМИ', 'PR', 'Формирование пула лояльных СМИ', 'Коммуникации с инвесторами', 'Наличие контактов с журналистами', 'Подготовка комментариев для телевидения', 'Сопровождение спикеров компании на радио и телевидении', 'Написание пресс-релизов', 'Подготовка комментариев для прессы']"
138,Маркетолог с функциями PR,"['Грамотная речь', 'Грамотность', 'Умение работать в коллективе', 'Социальные сети', 'Работа со СМИ', 'Продвижение объекта', 'Контакты с журналистами', 'Работа в условиях многозадачности', 'Маркетинговые коммуникации']"
139,Журналист/репортер,"['Грамотная речь', 'Английский язык', 'Грамотность', 'Деловое общение', 'Деловая коммуникация']"
140,PR-менеджер,"['SMM', 'Ведение групп в социальных сетях', 'Google Analytics', 'Social Media Marketing', 'Редакторская деятельность']"
141,Пресс-секретарь,[]
142,Журналист,"['Грамотная речь', 'Грамотность', 'Поиск информации в интернет', 'Написание текстов', 'Работа с людьми', 'Организаторские навыки', 'Умение работать в коллективе', 'Творческое мышление', 'Работа в кадре', 'Кино', 'Готовность к командировкам', 'Умение легко находить контакт с людьми', 'Навыки работы с большим объемом информации', 'Поиск информации']"
143,PR-менеджер,"['PR', 'Публичные выступления', 'Анализ PR стратегии конкурентов', 'PR первых лиц компании', 'Формирование пула лояльных СМИ']"
144,Журналист,"['Грамотная речь', 'Пользователь ПК', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет']"
145,Специалист по рекламе и PR,"['PR', 'Продвижение бренда', 'Управление проектами', 'Организация мероприятий']"
146,Копирайтер/редактор/журналист,[]
147,Журналист (корреспондент),[]
148,PR-директор (медиа сфера),[]
149,PR manager,"['PR', 'Написание текстов', 'Наличие контактов с журналистами', 'PR первых лиц компании', 'Анализ PR стратегии конкурентов']"
150,PR-менеджер,"['PR', 'Анализ PR стратегии конкурентов', 'Работа со СМИ', 'Написание пресс-релизов']"
151,Журналист,"['Грамотная речь', 'Креативность', 'Поиск информации в интернет', 'Грамотность', 'Написание текстов']"
152,Персональный PR-менеджер,"['Написание текстов', 'PR', 'Наличие контактов с журналистами', 'PR первых лиц компании', 'Анализ PR стратегии конкурентов']"
153,Менеджер по маркетингу и PR,"['Участие в профессиональных выставках', 'Производство рекламных материалов', 'PR', 'Наличие контактов с журналистами', 'Планирование маркетинговых кампаний', 'Продвижение бренда', 'Анализ PR стратегии конкурентов', 'Работа со СМИ']"
154,PR manager (crypto&blockchain),"['Английский\xa0— B2 — Средне-продвинутый', 'Английский язык', 'Работа в команде', 'Обучение персонала', 'Обучение и развитие', 'Деловая коммуникация', 'PR', 'Контакты с журналистами', 'Blockchain', 'Маркетинг услуг', 'B2B Marketing', 'Стратегический консалтинг', 'PR первых лиц компании', 'Анализ PR стратегии конкурентов', 'Формирование пула лояльных СМИ', 'Деловые СМИ', 'Медиа-мониторинг', 'Международные СМИ']"
155,Менеджер по маркетингу и PR,"['Английский\xa0— B2 — Средне-продвинутый', 'Ведение переговоров', 'SMM', 'Продвижение бренда', 'Продвижение в социальных группах']"
156,Менеджер по PR и рекламе,"['Управление проектами', 'Написание текстов', 'Ведение переговоров', 'Аналитические способности']"
157,Журналист-копирайтер,"['Английский\xa0— C1 — Продвинутый', 'Грамотность', 'Грамотная речь', 'Английский язык', 'Письменный перевод', 'Написание текстов', 'Базовое понимание SEO и SMM.']"
158,Специалист по рекламе и связям с общественностью (для работы в Нерюнгри),"['Организация пресс-конференций', 'Написание текстов', 'PR', 'Анализ PR стратегии конкурентов', 'Наличие контактов с журналистами']"
159,Руководитель проекта в PR агентство,"['Организация мероприятий', 'Участие в Тендерах', 'Работа со СМИ', 'Документооборот', 'Деловая коммуникация', 'Управление проектами', 'Организация деловых поездок', 'Коммуникация с клиентом', 'Написание пресс-релизов', 'организация пресс-туров']"
160,SMM-менеджер,"['SMM', 'Ведение групп в социальных сетях', 'Продвижение мероприятий компании в социальных сетях', 'Копирайтинг', 'Наполнение контентом', 'Написание статей', 'Social Media Marketing', 'Редактирование текстов', 'Продвижение в социальных группах', 'Написание текстов', 'Adobe Photoshop', 'Социальные сети', 'Написание рекламных статей', 'Графические редакторы', 'Грамотность']"
161,Event-менеджер,"['Написание текстов', 'PR', 'Наличие контактов с журналистами', 'Анализ PR стратегии конкурентов', 'Электронные СМИ', 'Marketing Events', 'Грамотность', 'Организация мероприятий', 'Продвижение бренда', 'Написание пресс-релизов']"
162,PR-менеджер,"['PR', 'Анализ PR стратегии конкурентов', 'Публичные выступления', 'PR первых лиц компании', 'Электронные СМИ']"
163,Журналист,[]
164,PR-менеджер,"['PR', 'Наличие контактов с журналистами', 'Анализ PR стратегии конкурентов', 'Формирование пула лояльных СМИ', 'Подготовка комментарие для прессы']"
165,Маркетолог/журналист/Копирайтер,"['Adobe Photoshop', 'Грамотная речь', 'Копирайтинг', 'CorelDRAW', 'Деловая переписка', 'конкурентный анализ', 'СММ', 'Маркетинговые исследования', 'Продвижение бренда', 'Производство рекламных материалов', 'Участие в профессиональных выставках', 'Ценообразование', 'Ребрендинг', 'Грамотность', 'Английский язык']"
166,Главный редактор,"['Грамотность', 'Написание текстов', 'Креативность', 'Грамотная речь', 'Работа в команде', 'Административное управление', 'Организационные навыки']"
167,Журналист,"['Пользователь ПК', 'Креативность', 'Мобильность']"
168,Журналист/редактор на тему архитектуры и дизайна,"['Грамотная речь', 'Грамотность', 'Написание статей', 'Уверенный пользователь ПК', 'Грамотная устная и письменная речь']"
169,Сценарист,"['Пользователь ПК', 'Написание сценариев', 'Написание текстов', 'Креативность', 'Грамотная речь', 'Грамотность', 'Юмор', 'Генерация идей', 'Русский язык', 'Работа в команде']"
170,Ведущий PR менеджер,"['Ориентация на результат', 'Генерация идей', 'Работа в условиях многозадачности', 'Работа в команде', 'Наличие контактов с журналистами', 'Позиционирование бренда', 'Маркетинговые коммуникации']"
171,Сценарист YouTube-проекта,"['Юмор', 'Творческое мышление', 'Креативность', 'Написание сценариев', 'Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Режиссура']"
172,Журналист-SMM,"['Грамотная речь', 'Грамотность', 'Деловое общение', 'Умение работать в коллективе', 'Написание текстов']"
173,Корреспондент/Ведущий на ТВ,"['Работа в команде', 'Написание текстов', 'Креативность', 'Уверенный пользователь ПК', 'Грамотная устная и письменная речь', 'Поставленная речь']"
174,PR менеджер,"['Написание текстов', 'PR', 'Наличие контактов с журналистами', 'Работа со СМИ', 'Организация PR кампаний', 'Разработка PR стратегии']"
175,Менеджер по развитию и PR в архитектурное бюро,"['Продвижение бренда', 'PR', 'Написание статей', 'Копирайтинг', 'Развитие бренда', 'Разработка PR стратегии', 'Участие в профессиональных выставках', 'SMM', 'Анализ PR стратегии конкурентов', 'Маркетинговый анализ']"
176,Журналист,"['Написание статей', 'Стрессовое интервью', 'Продвижение в социальных сетях', 'Работа в условиях многозадачности', 'Ведение групп в социальных сетях']"
177,PR-менеджер,"['PR', 'Публичные выступления', 'Анализ PR стратегии конкурентов', 'Креативность', 'Маркетинговые коммуникации']"
